"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3112e-10,5.9764e-19,5.9784e-10,1,0.077126,0.1854,-0.10827,0.01
1.3147e-10,6.0107e-19,6.0697e-10,1,0.077497,0.1854,-0.1079,0.01
1.3183e-10,6.0443e-19,6.2282e-10,1,0.077868,0.1854,-0.10753,0.01
1.3222e-10,6.0767e-19,6.5129e-10,1,0.078239,0.1854,-0.10716,0.01
1.3262e-10,6.1061e-19,7.1038e-10,1,0.07861,0.1854,-0.10679,0.01
1.3303e-10,6.1353e-19,7.7153e-10,1,0.07898,0.1854,-0.10642,0.01
1.3343e-10,6.1645e-19,8.3268e-10,1,0.079351,0.1854,-0.10605,0.01
1.3384e-10,6.1937e-19,8.9383e-10,1,0.079722,0.1854,-0.10568,0.01
1.3424e-10,6.2229e-19,9.5498e-10,1,0.080093,0.1854,-0.10531,0.01
1.3465e-10,6.2521e-19,1.0161e-09,1,0.080464,0.1854,-0.10494,0.01
1.3505e-10,6.2813e-19,1.0773e-09,1,0.080834,0.1854,-0.10457,0.01
1.3546e-10,6.3077e-19,1.106e-09,1,0.081205,0.1854,-0.10419,0.01
1.3587e-10,6.3333e-19,1.1213e-09,1,0.081576,0.1854,-0.10382,0.01
1.3629e-10,6.3587e-19,1.1355e-09,1,0.081947,0.1854,-0.10345,0.01
1.367e-10,6.3834e-19,1.1407e-09,1,0.082318,0.1854,-0.10308,0.01
1.3711e-10,6.4079e-19,1.1419e-09,1,0.082688,0.1854,-0.10271,0.01
1.3752e-10,6.432e-19,1.1389e-09,1,0.083059,0.1854,-0.10234,0.01
1.3793e-10,6.456e-19,1.1335e-09,1,0.08343,0.1854,-0.10197,0.01
1.3835e-10,6.48e-19,1.1281e-09,1,0.083801,0.1854,-0.1016,0.01
1.3876e-10,6.5039e-19,1.1209e-09,1,0.084172,0.1854,-0.10123,0.01
1.3917e-10,6.5278e-19,1.1121e-09,1,0.084542,0.1854,-0.10086,0.01
1.3959e-10,6.5518e-19,1.1033e-09,1,0.084913,0.1854,-0.10049,0.01
